run_id,arduino_raw_csv,optitrack_raw_csv,sync_mode,fixed_phi_transform,freehand_rotation_direction,scaling_scope,export_enabled,hdf5_key
0roll_0pitch_tt_1,data/arduino_raw/m0roll_0pitch_tt_1.csv,data/optitrack_raw/o0roll_0pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/0roll_0pitch_tt_1
0roll_0pitch_tt_2,data/arduino_raw/m0roll_0pitch_tt_2.csv,data/optitrack_raw/o0roll_0pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/0roll_0pitch_tt_2
0roll_135pitch_tt_1,data/arduino_raw/m0roll_135pitch_tt_1.csv,data/optitrack_raw/o0roll_135pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/0roll_135pitch_tt_1
0roll_135pitch_tt_2,data/arduino_raw/m0roll_135pitch_tt_2.csv,data/optitrack_raw/o0roll_135pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/0roll_135pitch_tt_2
0roll_180pitch_tt_1,data/arduino_raw/m0roll_180pitch_tt_1.csv,data/optitrack_raw/o0roll_180pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/0roll_180pitch_tt_1
0roll_180pitch_tt_2,data/arduino_raw/m0roll_180pitch_tt_2.csv,data/optitrack_raw/o0roll_180pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/0roll_180pitch_tt_2
0roll_45pitch_tt_1,data/arduino_raw/m0roll_45pitch_tt_1.csv,data/optitrack_raw/o0roll_45pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/0roll_45pitch_tt_1
0roll_45pitch_tt_2,data/arduino_raw/m0roll_45pitch_tt_2.csv,data/optitrack_raw/o0roll_45pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/0roll_45pitch_tt_2
0roll_90pitch_tt_1,data/arduino_raw/m0roll_90pitch_tt_1.csv,data/optitrack_raw/o0roll_90pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/0roll_90pitch_tt_1
0roll_90pitch_tt_2,data/arduino_raw/m0roll_90pitch_tt_2.csv,data/optitrack_raw/o0roll_90pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/0roll_90pitch_tt_2
135roll_0pitch_tt_1,data/arduino_raw/m135roll_0pitch_tt_1.csv,data/optitrack_raw/o135roll_0pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/135roll_0pitch_tt_1
135roll_0pitch_tt_2,data/arduino_raw/m135roll_0pitch_tt_2.csv,data/optitrack_raw/o135roll_0pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/135roll_0pitch_tt_2
135roll_135pitch_tt_1,data/arduino_raw/m135roll_135pitch_tt_1.csv,data/optitrack_raw/o135roll_135pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/135roll_135pitch_tt_1
135roll_135pitch_tt_2,data/arduino_raw/m135roll_135pitch_tt_2.csv,data/optitrack_raw/o135roll_135pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/135roll_135pitch_tt_2
135roll_180pitch_tt_1,data/arduino_raw/m135roll_180pitch_tt_1.csv,data/optitrack_raw/o135roll_180pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/135roll_180pitch_tt_1
135roll_180pitch_tt_2,data/arduino_raw/m135roll_180pitch_tt_2.csv,data/optitrack_raw/o135roll_180pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/135roll_180pitch_tt_2
135roll_45pitch_tt_1,data/arduino_raw/m135roll_45pitch_tt_1.csv,data/optitrack_raw/o135roll_45pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/135roll_45pitch_tt_1
135roll_45pitch_tt_2,data/arduino_raw/m135roll_45pitch_tt_2.csv,data/optitrack_raw/o135roll_45pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/135roll_45pitch_tt_2
135roll_90pitch_tt_1,data/arduino_raw/m135roll_90pitch_tt_1.csv,data/optitrack_raw/o135roll_90pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/135roll_90pitch_tt_1
135roll_90pitch_tt_3,data/arduino_raw/m135roll_90pitch_tt_3.csv,data/optitrack_raw/o135roll_90pitch_tt_3.csv,fixed,auto,,all_trials,true,runs/135roll_90pitch_tt_3
180roll_0pitch_tt_1,data/arduino_raw/m180roll_0pitch_tt_1.csv,data/optitrack_raw/o180roll_0pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/180roll_0pitch_tt_1
180roll_0pitch_tt_2,data/arduino_raw/m180roll_0pitch_tt_2.csv,data/optitrack_raw/o180roll_0pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/180roll_0pitch_tt_2
180roll_135pitch_tt_1,data/arduino_raw/m180roll_135pitch_tt_1.csv,data/optitrack_raw/o180roll_135pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/180roll_135pitch_tt_1
180roll_135pitch_tt_2,data/arduino_raw/m180roll_135pitch_tt_2.csv,data/optitrack_raw/o180roll_135pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/180roll_135pitch_tt_2
180roll_180pitch_tt_1,data/arduino_raw/m180roll_180pitch_tt_1.csv,data/optitrack_raw/o180roll_180pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/180roll_180pitch_tt_1
180roll_180pitch_tt_2,data/arduino_raw/m180roll_180pitch_tt_2.csv,data/optitrack_raw/o180roll_180pitch_tt_2.csv,fixed,auto,,all_trials,true,runs/180roll_180pitch_tt_2
180roll_45pitch_tt_1,data/arduino_raw/m180roll_45pitch_tt_1.csv,data/optitrack_raw/o180roll_45pitch_tt_1.csv,fixed,auto,,all_trials,true,runs/180roll_45pitch_tt_1
