sample_index,t_arduino_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,flex,pressure,pressure_adc,flex_adc,acc_x_g,acc_y_g,acc_z_g,gyr_x_rads,gyr_y_rads,gyr_z_rads,Time,BR_X,BR_Y,BR_Z,BR_W,BP_X,BP_Y,BP_Z,TR_X,TR_Y,TR_Z,TR_W,TP_X,TP_Y,TP_Z,phi,theta,psi,dx,dy,dz
0.0,0.0,0.24261243489583326,0.1316810913085937,9.8449572265625,0.07536447177186707,0.009503828496864767,0.021539050565324364,3576.3333333333335,4181.62393162393,476.0,3576.3333333333335,0.024739583333333332,0.013427734375,1.00390625,0.07536447177186707,0.009503828496864767,0.021539050565324364,0.0,-9.133333333333334e-05,5.133333333333333e-05,3.333333333333324e-07,-1.0,0.252055,0.3059096666666667,0.244275,-0.0006863333333333334,-4.4000000000000006e-05,-2.4e-05,-1.0,0.23962766666666668,0.169283,0.263949,0.0011900081093062,0.00019063798934486668,4.870009370743333e-05,0.012427333333333233,0.13662666666666667,-0.01967399999999993
5.0,0.0208333333333333,0.2580949389648437,0.1326387719726562,9.830592016601562,0.07511577345606127,0.010232159278867461,0.02097059727205396,3573.0,3942.6739926739915,472.2,3573.0,0.026318359375,0.013525390625,1.00244140625,0.07511577345606127,0.010232159278867461,0.02097059727205396,0.020833333333333332,-8.539999999999999e-05,3.96e-05,-4.400000000000001e-06,-1.0,0.2520542,0.305913,0.24427400000000002,-0.0007878,-0.00011820000000000001,-6.16e-05,-0.9999998,0.23962599999999998,0.1692748,0.2639538,0.00140483943336666,0.00031549991403956,0.00011460217080150767,0.01242819999999996,0.1366382,-0.01967979999999998
10.0,0.0416666666666666,0.24708161132812498,0.12114660400390623,9.832028537597655,0.07506248095981716,0.00855344564717826,0.02115712100890832,3574.6,3829.4871794871783,470.4,3574.6,0.0251953125,0.012353515625,1.002587890625,0.07506248095981716,0.00855344564717826,0.02115712100890832,0.041666666666666664,-0.0001558,5.300000000000001e-05,-3.84e-05,-1.0,0.2520526,0.3059052,0.2442808,-0.0007654,-5.7799999999999995e-05,-8.400000000000001e-06,-1.0,0.23962659999999997,0.16928039999999997,0.2639506,0.0012191981610779601,0.00022157791381429998,-5.996087742577089e-05,0.01242599999999992,0.13662479999999996,-0.01966979999999996
15.0,0.0625,0.26479870361328117,0.11540052001953123,9.819099848632812,0.07623491587718742,0.0095660030758162,0.021263706001396522,3574.4,4055.8608058608056,474.0,3574.4,0.027001953125,0.011767578125,1.00126953125,0.07623491587718742,0.0095660030758162,0.021263706001396522,0.0625,-6.82e-05,5.62e-05,-4.2000000000000004e-06,-1.0,0.2520534,0.30591080000000004,0.244279,-0.0006218,-2.2e-05,-6.400000000000001e-06,-1.0,0.23962219999999998,0.1692814,0.26395080000000004,0.0011072023237007002,0.0001563921144169343,4.400516968472556e-06,0.01243119999999992,0.1366294,-0.01967179999999994
20.0,0.0833333333333333,0.2753331909179687,0.13311761230468747,9.795157832031249,0.07506248095981714,0.00943277183520594,0.021450229738250882,3568.6,3804.334554334552,470.0,3568.6,0.028076171875,0.01357421875,0.998828125,0.07506248095981714,0.00943277183520594,0.021450229738250882,0.08333333333333333,-7.280000000000001e-05,6.02e-05,1.68e-05,-1.0,0.25205479999999997,0.3059126,0.2442736,-0.00069,-0.0001634,-8.14e-05,-0.9999998,0.23962640000000004,0.1692718,0.2639656,0.0012344676834687997,0.00044709753034421996,0.0001966114790630874,0.012428399999999899,0.13664079999999998,-0.01969199999999998
25.0,0.1041666666666666,0.26527754394531244,0.11683704101562495,9.820536369628906,0.0749292497192069,0.00959264932393826,0.0209439510239319,3573.6,4055.860805860805,474.0,3573.6,0.02705078125,0.0119140625,1.001416015625,0.0749292497192069,0.00959264932393826,0.0209439510239319,0.10416666666666667,-0.0001446,7.62e-05,-4.9999999999999996e-06,-1.0,0.2520506,0.30590740000000005,0.2442784,-0.0006642,-0.0001792,-8.34e-05,-1.0,0.2396262,0.1692744,0.2639648,0.00103928913617872,0.00051068851232456,0.00015698771727283778,0.01242439999999992,0.13663299999999998,-0.01968639999999998
30.0,0.125,0.25426421630859375,0.13503297363281247,9.809523041992188,0.074982542215451,0.00932618684271776,0.02121041350515242,3570.0,3816.9108669108655,470.2,3570.0,0.025927734375,0.01376953125,1.00029296875,0.074982542215451,0.00932618684271776,0.02121041350515242,0.125,-6.28e-05,5.459999999999999e-05,1.5799999999999998e-05,-1.0,0.252051,0.3059072,0.24427959999999999,-0.0005378,-4.44e-05,-3.8e-06,-1.0,0.23962219999999998,0.16928139999999997,0.2639538,0.0009500020565247,0.00019799618819498215,3.92315528281094e-05,0.01242879999999998,0.13662579999999996,-0.01967419999999994
35.0,0.1458333333333333,0.2576160986328125,0.13838485595703123,9.781750302734375,0.07378346104995873,0.010951607978162841,0.02288912713684162,3574.2,3879.792429792429,471.2,3574.2,0.02626953125,0.014111328125,0.9974609375,0.07378346104995873,0.010951607978162841,0.02288912713684162,0.14583333333333334,-8.86e-05,5.6399999999999995e-05,4.000000000000001e-06,-1.0,0.2520544,0.3059124,0.24427499999999996,-0.0006318000000000001,-1.56e-05,-2.4000000000000016e-06,-1.0,0.2396236,0.16927980000000004,0.2639492,0.00108639983605244,0.0001439969865244,1.2806255362276074e-05,0.01243079999999994,0.13663259999999994,-0.01967419999999998
40.0,0.1666666666666666,0.2288856787109374,0.12880804931640624,9.821494050292968,0.07527565094479358,0.0102055130307454,0.02131699849764062,3574.4,3917.5213675213663,471.8,3574.4,0.02333984375,0.013134765625,1.001513671875,0.07527565094479358,0.0102055130307454,0.02131699849764062,0.16666666666666666,-0.0001096,5.6000000000000006e-05,5.4e-06,-1.0,0.2520528,0.305908,0.24427659999999998,-0.0005809999999999999,-0.00010839999999999999,-4.86e-05,-1.0,0.2396262,0.1692778,0.26396080000000005,0.0009428397160850999,0.00032875976411397996,0.0001080708481439625,0.01242659999999994,0.13663019999999998,-0.019684199999999978
45.0,0.1875,0.258573779296875,0.1431732592773437,9.838732302246093,0.07516906595230535,0.008713323135910559,0.02169004597134932,3574.2,3955.2503052503043,472.4,3574.2,0.0263671875,0.014599609375,1.003271484375,0.07516906595230535,0.008713323135910559,0.02169004597134932,0.1875,-0.00010460000000000001,6.620000000000001e-05,4.3999999999999985e-06,-1.0,0.2520544,0.3059102,0.24427659999999998,-0.0006928,-0.00011080000000000001,-6.08e-05,-1.0,0.2396262,0.169274,0.2639596,0.0011764480395214001,0.00035393410943386,0.00013050700969868682,0.01242819999999992,0.13663619999999999,-0.01968299999999998
